#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SHANK2	DLG4	0	0	0	0	0	0	0	0	0	0	0.993
SHANK2	DLGAP1	0	0	0	0	0	0	0	0	0	0	0.981
SHANK2	SHANK3	0	0	0	0	0	0	0	0	0	0	0.98
SHANK2	CTTN	0	0	0	0	0	0	0	0	0	0	0.969
SHANK2	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.969
SHANK2	SHANK1	0	0	0	0	0	0	0	0	0	0	0.968
SHANK2	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.964
SHANK2	NLGN3	0	0	0	0	0	0	0	0	0	0	0.958
SHANK2	HOMER1	0	0	0	0	0	0	0	0	0	0	0.937
SHANK2	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.917
